id;Nom;Descripcio;Vida;Mana;ATK;INT;DEF;SPD;Playable?;XP;Groups;Movements
id1;Sacerdot Guerrer;;200;160;250;180;150;150;False;150;Human;Mossegada: 1
id1;Caballer Magic;Un forma avançada de caballeria i magia...;250;160;200;300;180;160;False;150;Human;Mossegada: 1
id1;Sant;Una especialitzacio en curacio per part del sacerdot;200;250;80;200;120;100;False;150;Human;Mossegada: 1
id1;Sage;Un Mag que ha entes la veritat de la magia;150;280;80;300;120;150;False;150;Human;Mossegada: 1
id1;Atacant Veloç;Una disposicio agil permet a un lladre concentrarse en realitzar multiples atacs i acomular dany gradualment;170;100;150;100;120;250;False;150;Human;Mossegada: 1
id1;Atacant de Desventatges;Un lladre centrat en atacar aplicant desventatges en els enemics;170;120;110;150;120;200;False;150;Human;Mossegada: 1
id1;Arquer Magic;Un arquer centrat en multiples atacs magics i normals;170;160;200;160;120;200;False;150;Human;Mossegada: 1
id1;Arquer Potent;Un arquer centrat en el dany per atac mes que en atacar seguit;180;120;200;100;120;50;False;150;Human;Mossegada: 1
conill;Conill Cornut;;100;20;80;20;100;110;False;25;Beast, Monster;Embestir: 1 | Mossegada: 5
id1;Fenrir;;400;400;400;400;400;400;False;4000;Divine, Beast;Mossegada: 1
id1;Wight;;120;100;120;40;120;100;False;50;Spirit, Monster;Mossegada: 1
id1;Lich;;200;300;150;250;200;180;False;800;Spirit, Monster;Mossegada: 1
id1;Vampire;;250;200;250;250;200;180;False;800;Monster, Human;Mossegada: 1
id1;Ghoul;;140;100;140;80;130;110;False;75;Monster;Mossegada: 1
id1;Aranya de Bosc;;140;40;140;40;120;120;False;50;Monster;Cop de Cua: 1 | Embestir: 3 | Bola de Foc: 10 | Agulles de Terra: 30
id1;Wyrm;;180;120;160;160;140;140;False;75;Monster;Mossegada: 1 | Picada: 4 | Tela d'aranya: 5 | Tela Corrosiva: 10 | Mossegada Verinosa: 24
id1;Guivern de Gel;;220;250;200;220;220;180;False;500;Monster;Mossegada: 1
id1;Guivern;;220;250;220;200;210;190;False;500;Monster;Mossegada: 1
id1;Guivern de Roca;;250;220;200;200;260;150;False;500;Monster;Mossegada: 1
id1;Guivern de Vent;;220;250;200;200;190;200;False;500;Monster;Mossegada: 1
id1;Gran Tortuga;;200;160;150;150;200;80;False;300;Monster, Aquatic;Embestir: 1 | Hydromancia: 5 | Esfera d'aigua: 7
id1;Tortuga Marina;;150;80;120;120;150;60;False;100;Monster, Aquatic;Embestir: 1 | Javelina de Glaç: 24 | Hydromancia: 5 | Esfera d'aigua: 7
id1;Serp Marina;;150;180;150;180;140;120;False;220;Monster, Aquatic;Cop de Cua: 1 | Mossegada: 4 | Javelina de Glaç: 24 | Hydromancia: 5 | Esfera d'aigua: 7
id1;Leviathan;;420;400;400;420;420;300;False;4000;Divine, Aquatic;Mossegada: 1
id1;Cranc Aberrant;;140;100;150;120;130;100;False;150;Aquatic, Monster;Cop: 1 | Aixafar: 4
id1;Gran Cranc Aberrant;;180;150;180;160;180;120;False;370;Aquatic, Monster;Cop: 1 | Aixafar: 4 | Javelina de Glaç: 26 | Hydromancia: 5 | Esfera d'aigua: 7
id1;Os Monstruos;;160;80;160;80;170;110;False;200;Monster, Beast;Urpada: 1 | Mossegada: 4
id1;Os de Fang;;240;240;240;240;240;200;False;600;Artificial, Monster;Urpada: 1 | Mossegada: 4 | Agulles de Terra: 30 | Gravetat: 23
id1;Aguila Terrorifica;;120;120;120;120;100;150;False;100;Monster, Beast;Urpada: 1 | Mossegada: 4 | Fulla de Vent: 10
id1;Aguila Platejada;;170;170;180;120;130;180;False;400;Spirit, Beast;Urpada: 1 | Mossegada: 4 | Fulla de Vent: 10 | Tempesta: 30 | Javelina de Glaç: 25
id1;Ogre;;140;120;150;120;160;130;False;250;Monster, Human;Cop: 1 | Tall potent: 4 | Tall Llampeg: 10 | Revestiment de Flames: 24
id1;Orc;;120;100;110;100;120;80;False;150;Monster, Human;Cop: 1 | Dispar de Fletxa: 4
id1;Goblin;;80;20;80;20;100;120;False;25;Monster, Human;Cop: 1 | Dispar de Fletxa: 4
id1;Formiga Ogre;;120;120;140;100;130;140;False;200;Monster;Mossegada: 1
id1;Caball d'Acer;;150;50;140;50;170;170;False;250;Monster;Mossegada: 1
id1;Gran Slime;;200;200;200;200;200;200;False;500;Monster, Human;Mossegada: 1
id1;Golem d'Oricalc;;400;300;350;300;370;150;False;2000;Artificial, Divine;Mossegada: 1
id1;Slime de Ferro;;170;170;170;170;170;160;False;200;Artificial, Monster;Mossegada: 1
id1;Slime d'Oricalc;;400;400;320;350;340;250;False;3000;Divine, Monster;Mossegada: 1
id1;Basilisc;;260;240;260;250;220;230;False;1000;Monster;Mossegada: 1
id1;Quimera;;250;250;250;250;250;200;False;1000;Artificial, "Monster";Mossegada: 1
id1;Manticora;;240;240;280;240;250;270;False;1000;Human;Mossegada: 1
id1;Cor d'Acer Magic;;300;300;280;250;300;50;False;1200;Human;Mossegada: 1
id1;Siren;Un ocell amb cap huma, causa terror entre els mariners...;120;120;130;130;100;160;False;200;Human;Urpada: 1 | Fulla de Vent: 10 | Torbelli: 14
id1;Ouroboros;;500;500;400;450;500;250;False;5000;Divine, Beast;Mossegada: 1
id1;Jormungandr;;450;400;400;380;450;200;False;4000;Divine, Beast;Mossegada: 1
id1;Walpurgis;;200;500;200;500;300;350;False;4000;Divine, Spirit;Mossegada: 1
id1;Serafi;;300;300;300;300;300;300;False;3000;Divine, Spirit;Mossegada: 1
id1;Golem de Metall;;300;150;250;150;280;100;False;1000;Artificial;Mossegada: 1
id1;Sephirot;;450;450;350;420;420;150;False;3800;Divine, Beast;Mossegada: 1
id1;Anogratch;;140;120;140;120;120;140;False;70;Monster;Mossegada: 1
id1;Bagragratch;;170;150;170;150;150;170;False;340;Monster;Mossegada: 1
id1;Gran aranya;;200;200;220;170;220;160;False;370;Monster;Mossegada: 1
id1;Rey Ogre;;250;200;250;200;250;220;False;750;Monster, Human;Mossegada: 1
id1;Oni;;300;300;350;300;320;300;False;3000;Divine, Monster;Mossegada: 1
id1;Vespa Gegant;;150;120;150;120;100;160;False;120;Monster;Picada: 1 | Mossegada Verinosa: 4
id1;Granota Verinosa;;120;100;120;100;100;120;False;100;Monster;Cop: 1 | Mossegada Verinosa: 4
id1;Gran Granota Verinosa;;160;160;170;150;150;140;False;300;Monster;Cop: 1 | Mossegada Verinosa: 4
id1;Vespa General;;170;120;170;140;120;190;False;300;Monster;Picada: 1 | Mossegada Verinosa: 4
id1;Verdader Ancestre Vampir;;420;420;400;400;300;300;False;3000;Divine, Spirit;Mossegada: 1
id1;Oneiros;;400;400;450;450;400;370;False;5000;Divine, Beast;Mossegada: 1
id1;Fada;;80;250;10;200;30;200;False;100;Spirit;Cop: 1
id1;Gnom;;150;150;150;100;150;120;False;100;Spirit, Beast;Cop: 1
